
Fecha;ImpuestoRenta;InteresAnual;InteresGanado;Moneda;Monto;Nombre;Plazo;SaldoFinal;TipoInversion
24/4/2016 10:17:21 p. m.;4433,33333333333;5,7;55416,6666666666;colones;5000000;Kevin;70;5050983,33333333;Depósito Plazo
Fecha;ImpuestoRenta;InteresAnual;InteresGanado;Moneda;Monto;Nombre;Plazo;SaldoFinal;TipoInversion
24/4/2016 10:34:40 p. m.;0;1;13,8888888888889;colones;50000;Jasson Moya Álvarez;10;50013,8888888889;Cuenta Corriente
Fecha;ImpuestoRenta;InteresAnual;InteresGanado;Moneda;Monto;Nombre;Plazo;SaldoFinal;TipoInversion
24/4/2016 10:34:40 p. m.;0;1;13,8888888888889;colones;50000;Jasson Moya Álvarez;10;50013,8888888889;Cuenta Corriente
24/4/2016 10:35:34 p. m.;4800;5,4;60000;colones;10000000;Jasson Moya Álvarez;40;10055200;Depósito Plazo
24/4/2016 10:35:56 p. m.;96;5,4;1200;colones;200000;Jasson Moya Álvarez;40;201104;Depósito Plazo
Fecha;ImpuestoRenta;InteresAnual;InteresGanado;Moneda;Monto;Nombre;Plazo;SaldoFinal;TipoInversion
Fecha;ImpuestoRenta;InteresAnual;InteresGanado;Moneda;Monto;Nombre;Plazo;SaldoFinal;TipoInversion
25/4/2016 1:18:01 p. m.;0;0,91;10,1111111111111;dólares;8000;Jota;50;8010,11111111111;Tasa Pactada
25/4/2016 1:18:18 p. m.;4725;9,45;59062,5;colones;1500000;Jota;150;1554337,5;Depósito Plazo
